Haul.no,Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,family,species,split.mult,no.individuals,vial label,volume.filtered.m3,concentration.1000m3,notes
301-1-0,301,1,0,winter,NH,1,MaN,1,Ammodytidae,Ammodytes spp.,NA,1,f,,,
,301,1,0,winter,NH,1,MaN,3,Scorpenidae,Sebastes spp.,NA,3,a,,,
,301,1,0,winter,NH,1,MaN,1,Cyclopteridae,Liparis spp.,NA,1,b,,,
,301,1,0,winter,NH,1,MaN,1,Pleuronectidae,Glyptocephalus zachirus,NA,1,c,,,
,301,1,0,winter,NH,1,MaN,26,Pleuronectidae,Parophrys vetulus,NA,26,e,,,
,301,1,0,winter,NH,1,MaN,3,unknown,Damaged,NA,3,d,,,
301-1-3,301,1,3,winter,NH,1,MaN,46,Pleuronectidae,Parophrys vetulus,NA,46,a+l,,,
,301,1,3,winter,NH,1,MaN,2,Cyclopteridae,Liparis fucensis,NA,2,b,,,
,301,1,3,winter,NH,1,MaN,2,Ammodytidae,Ammodytes spp.,NA,2,c,,,
,301,1,3,winter,NH,1,MaN,1,Scorpenidae,Sebastes spp.,NA,1,d,,,
,301,1,3,winter,NH,1,MaN,2,Cottidae,Cottidae spp.,NA,2,e,,,
,301,1,3,winter,NH,1,MaN,1,unknown,Fish eggs,NA,1,f,,,
,301,1,3,winter,NH,1,MaN,3,unknown,Damaged,NA,3,g,,,
,301,1,3,winter,NH,1,MaN,3,Pleuronectidae,Psettichthys melanostictus,NA,3,h,,,
,301,1,3,winter,NH,1,MaN,1,Hexagrammidae,Ophiodon elongatus,NA,1,i,,,
,301,1,3,winter,NH,1,MaN,1,Myctophidae,Tarletonbeania crenularis,NA,1,j,,,
,301,1,3,winter,NH,1,MaN,1,unknown,Unknown,NA,1,k,,,
301-1-4,301,1,4,winter,NH,1,MaN,14,Pleuronectidae,Parophrys vetulus,NA,14,a,,,
,301,1,4,winter,NH,1,MaN,1,Cyclopteridae,Liparis fucensis,NA,1,b,,,
,301,1,4,winter,NH,1,MaN,4,unknown,Damaged,NA,4,c,,,
,301,1,4,winter,NH,1,MaN,4,Paralichthyidae,Citharichthys sordidus,NA,4,d,,,
,301,1,4,winter,NH,1,MaN,1,Gadidae,Microgadus proximus,NA,1,e,,,
,301,1,4,winter,NH,1,MaN,1,Pleuronectidae,Psettichthys melanostictus,NA,1,f,,,
,301,1,4,winter,NH,1,MaN,1,Myctophidae,Stenobrachius leucopsarus,NA,1,g,,,
,301,1,4,winter,NH,1,MaN,1,Bathymasteridae,Ronquilus jordani,NA,1,h,,,
301-4-0,301,4,0,winter,NH,1,MaN,5,Ammodytidae,Ammodytes spp.,NA,5,c,,,
,301,4,0,winter,NH,1,MaN,4,Scorpenidae,Sebastes spp.,NA,4,a,,,
,301,4,0,winter,NH,1,MaN,1,Hexagrammidae,Ophiodon elongatus,NA,1,g,,,
,301,4,0,winter,NH,1,MaN,3,Pleuronectidae,Glyptocephalus zachirus,NA,3,b,,,
,301,4,0,winter,NH,1,MaN,1,Pleuronectidae,Isopsetta isolepis,NA,1,i,,,
,301,4,0,winter,NH,1,MaN,3,Pleuronectidae,Psettichthys melanostictus,NA,3,f,,,
,301,4,0,winter,NH,1,MaN,1,Pleuronectidae,Unknown,NA,1,d,,,post-transformation
,301,4,0,winter,NH,1,MaN,58,Pleuronectidae,Parophrys vetulus,NA,58,h,,,
,301,4,0,winter,NH,1,MaN,1,unknown,Damaged,NA,1,j,,,
,301,4,0,winter,NH,1,MaN,13,unknown,Fish eggs,NA,13,k,,,
301-4-3,301,4,3,winter,NH,1,MaN,73,Pleuronectidae,Parophrys vetulus,NA,73,a,,,
,301,4,3,winter,NH,1,MaN,14,Scorpenidae,Sebastes spp.,NA,14,b,,,
,301,4,3,winter,NH,1,MaN,4,Pleuronectidae,Glyptocephalus zachirus,NA,4,c,,,
,301,4,3,winter,NH,1,MaN,13,unknown,Damaged,NA,13,d,,,
,301,4,3,winter,NH,1,MaN,6,Ammodytidae,Ammodytes spp.,NA,6,e,,,
,301,4,3,winter,NH,1,MaN,6,Hexagrammidae,Ophiodon elongatus,NA,6,f,,,
,301,4,3,winter,NH,1,MaN,6,Pleuronectidae,Psettichthys melanostictus,NA,6,g,,,
,301,4,3,winter,NH,1,MaN,1,Cottidae,Cottidae spp.,NA,1,h,,,
,301,4,3,winter,NH,1,MaN,2,Cyclopteridae,Liparis fucensis,NA,2,i,,,
,301,4,3,winter,NH,1,MaN,2,Paralichthyidae,Citharichthys sordidus,NA,2,j,,,
,301,4,3,winter,NH,1,MaN,1,Pleuronectidae,Pleuronichthys decurrens,NA,1,k,,,
,301,4,3,winter,NH,1,MaN,1,Paralichthyidae,Citharichthys stigmaeus,NA,1,l,,,
,301,4,3,winter,NH,1,MaN,1,Pleuronectidae,Isopsetta isolepis,NA,1,m,,,
,301,4,3,winter,NH,1,MaN,1,Pleuronectidae,Lepidopsetta bilineata,NA,1,n,,,
,301,4,3,winter,NH,1,MaN,2,Pleuronectidae,Parophrys vetulus,NA,2,o,,,changed from unknown-NH
302-1-0,302,1,0,winter,NH,2,MaN,3,Pleuronectidae,Parophrys vetulus,NA,3,a,,,
,302,1,0,winter,NH,2,MaN,1,Ammodytidae,Ammodytes spp.,NA,1,b,,,
,302,1,0,winter,NH,2,MaN,1,Scorpenidae,Sebastes spp.,NA,1,c,,,
,302,1,0,winter,NH,2,MaN,2,Myctophidae,Stenobrachius leucopsarus,NA,2,d,,,
,302,1,0,winter,NH,2,MaN,1,Myctophidae,Protomyctophum crockeri,NA,1,e,,,
,302,1,0,winter,NH,2,MaN,8,Paralichthyidae,Citharichthys sordidus,NA,8,f,,,
,302,1,0,winter,NH,2,MaN,1,unknown,Damaged,NA,1,g,,,
,302,1,0,winter,NH,2,MaN,5,unknown,Fish eggs,NA,5,h,,,
302-1-2,302,1,2,winter,NH,2,MaN,4,Pleuronectidae,Parophrys vetulus,NA,4,a,,,
,302,1,2,winter,NH,2,MaN,1,Scorpenidae,Sebastes spp.,NA,1,b,,,
,302,1,2,winter,NH,2,MaN,1,Hexagrammidae,Ophiodon elongatus,NA,1,c,,,
302-1-3,302,1,3,winter,NH,2,MaN,4,Pleuronectidae,Parophrys vetulus,NA,4,a,,,
,302,1,3,winter,NH,2,MaN,4,Myctophidae,Stenobrachius leucopsarus,NA,4,b,,,
,302,1,3,winter,NH,2,MaN,4,Paralichthyidae,Citharichthys sordidus,NA,4,c,,,
,302,1,3,winter,NH,2,MaN,1,Ammodytidae,Ammodytes spp.,NA,1,d,,,
,302,1,3,winter,NH,2,MaN,1,Pleuronectidae,Pleuronichthys decurrens,NA,1,e,,,
302-1-4,302,1,4,winter,NH,2,MaN,4,Scorpenidae,Sebastes spp.,NA,4,a,,,
,302,1,4,winter,NH,2,MaN,1,Myctophidae,Stenobrachius leucopsarus,NA,1,b,,,
,302,1,4,winter,NH,2,MaN,1,Pleuronectidae,Parophrys vetulus,NA,1,c,,,
,302,1,4,winter,NH,2,MaN,1,unknown,Fish eggs,NA,1,d,,,
,302,1,4,winter,NH,2,MaN,1,unknown,Damaged,NA,1,e,,,
,302,1,4,winter,NH,2,MaN,5,Paralichthyidae,Citharichthys sordidus,NA,5,f,,,
,302,1,4,winter,NH,2,MaN,1,unknown,Unknown,NA,1,g,,,very small
302-4-0,302,4,0,winter,NH,2,MaN,3,Pleuronectidae,Parophrys vetulus,NA,3,a,,,
,302,4,0,winter,NH,2,MaN,3,Scorpenidae,Sebastes spp.,NA,3,b,,,
,302,4,0,winter,NH,2,MaN,1,unknown,Damaged,NA,1,c,,,
,302,4,0,winter,NH,2,MaN,7,unknown,Fish eggs,NA,7,d,,,
,302,4,0,winter,NH,2,MaN,2,Ammodytidae,Ammodytes spp.,NA,2,e,,,
302-4-2,302,4,2,winter,NH,2,MaN,6,Pleuronectidae,Parophrys vetulus,NA,6,a,,,
,302,4,2,winter,NH,2,MaN,1,Scorpenidae,Sebastes spp.,NA,1,b,,,
,302,4,2,winter,NH,2,MaN,3,Ammodytidae,Ammodytes spp.,NA,3,c,,,
,302,4,2,winter,NH,2,MaN,1,Paralichthyidae,Citharichthys sordidus,NA,1,d,,,
,302,4,2,winter,NH,2,MaN,4,unknown,Damaged,NA,4,e,,,
302-4-3,302,4,3,winter,NH,2,MaN,5,Pleuronectidae,Parophrys vetulus,NA,5,a,,,
,302,4,3,winter,NH,2,MaN,1,Paralichthyidae,Citharichthys stigmaeus,NA,1,b,,,
