haul,haul.number,moc,net.number,date,transect,station,family,genus,species,number.of.individuals.raw,split.multiplier,number.of.individuals.adjusted,volume.filtered.m3,concentration.1000m3,vial.letter,fish.box.location,id.by,notes,,,,
109,0109-1-4,1,4,2022/3/5,CR,1,Clupeidae,Sardinops,Sardinops sagax,10,2,20,,#DIV/0!,,Luke (Hatfield),LB,"Dissected for diet analysis, preserved in formalin",,,,
101,101-1-0,1,0,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,49,2,98,,#DIV/0!,a,Hatfield,JI,,,,,
101,101-1-1,1,1,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,24,1,24,,#DIV/0!,a,Hatfield,JI,,,,,
101,101-1-1,1,1,2022/3/2,GH,4,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
101,101-1-1,1,1,2022/3/2,GH,4,Damaged,,,2,1,2,,#DIV/0!,c,Hatfield,JI,,,,,
101,101-1-2,1,2,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,a,Hatfield,JI,,,,,
101,101-1-2,1,2,2022/3/2,GH,4,Liparidae,Liparis,Liparis fucensis,144,1,144,,#DIV/0!,b,Hatfield,JI,,,,,
101,101-1-2,1,2,2022/3/2,GH,4,Damaged,,,3,1,3,,#DIV/0!,c,Hatfield,JI,,,,,
101,101-1-3,1,3,2022/3/2,GH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,1,2,,#DIV/0!,c,Hatfield,JI,,,,,
101,101-1-3,1,3,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,15,1,15,,#DIV/0!,a,Hatfield,JI,,,,,
101,101-1-3,1,3,2022/3/2,GH,4,Liparidae,Liparis,Liparis spp.,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
101,101-1-3,1,3,2022/3/2,GH,4,Damaged,,,2,1,2,,#DIV/0!,e,Hatfield,JI,,,,,
101,101-1-3,1,3,2022/3/2,GH,4,Pleuronectidae,Atheresthes,Atheresthes stomias,1,1,1,,#DIV/0!,d,Hatfield,JI,,,,,
101,0101-1-4,1,4,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,10,2,20,,#DIV/0!,a,Hatfield,JI,,,,,
101,0101-1-4,1,4,2022/3/2,GH,4,Damaged,,,2,2,4,,#DIV/0!,b,Hatfield,JI,,,,,
101,101-1-4p,1,4,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,7,2,14,,#DIV/0!,a,Hatfield,JI,,,,,
101,101-4-0,4,0,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,12,1,12,,#DIV/0!,a,Hatfield,JI,,,,,
101,101-4-0,4,0,2022/3/2,GH,4,Liparidae,Liparis,Liparis fucensis,3,1,3,,#DIV/0!,b,Hatfield,JI,,,,,
101,101-4-0,4,0,2022/3/2,GH,4,Cottidae,Hemilepidotus,Hemilepidotus spinosus,2,1,2,,#DIV/0!,c,Hatfield,JI,,,,,
