haul,haul.number,moc,net.number,date,transect,station,family,genus,species,number.of.individuals.raw,split.multiplier,number.of.individuals.adjusted,volume.filtered.m3,concentration.1000m3,vial.letter,fish.box.location,id.by,notes
,,4,4,2023/2/18,GH,1,Osmeridae,,,153,1,153,,#DIV/0!,,Luke (Hatfield),LB,"Incomplete, 30 preserved in formalin"
,,1,4,2023/2/25,NH,6,Pleuronectidae,Lyopsetta,Lyopsetta exilis,2,2,4,,#DIV/0!,,Luke (Hatfield),LB,Incomplete
,,4,4,2023/2/19,CR,1,Osmeridae,,,65,1,65,,#DIV/0!,,Luke (Hatfield),LB,"Incomplete, 21 preserved in formalin"
,,4,4,2023/2/19,CR,2,Osmeridae,,,8,1,8,,#DIV/0!,,Luke (Hatfield),LB,Incomplete
,,4,4,2023/2/18,GH,3,Osmeridae,,,80,1,80,,#DIV/0!,,Luke (Hatfield),LB,"Incomplete, 10 preserved in formalin"
,,4,4,2023/2/24,NH,1,Osmeridae,,,5,1,5,,#DIV/0!,,Luke (Hatfield),LB,Incomplete
301,301-1-0,1,0,2023/2/17,GH,4,Unknown,Unknown,Unknown,1,2,,,,A,,NH,"maybe sebastes, but do not recognize the pigment"
301,0301-1-1,1,1,2023/2/17,GH,4,No fish,No fish,No fish,0,1,0,,#DIV/0!,0,Hatfield,NH,
301,0301-1-2,1,2,2023/2/17,GH,4,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,1,1,1,,#DIV/0!,A,Hatfield,NH,
301,0301-1-2,1,2,2023/2/17,GH,4,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,B,Hatfield,NH,
301,0301-1-3,1,3,2023/2/17,GH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,6,1,6,,#DIV/0!,A,Hatfield,NH,
301,0301-1-3,1,3,2023/2/17,GH,4,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,B,Hatfield,NH,
301,301-1-4*,1,4*,2023/2/17,GH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,3,NA,#VALUE!,,#VALUE!,A,Hatfield,NH,
301,301-1-4*,1,4*,2023/2/17,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,1,NA,#VALUE!,,#VALUE!,B,Hatfield,NH,
