Cruise,Date.GMT,Time.start.GMT,Time.end.GMT,Location,Station,Transect,Transect_id,Haul,Moc,Net.no,Haul.no,Volume.filtered,Station.lat,Station.lon,mean_temp_mocness,mean_salinity_mocness,Notes
W18,180217,5:54:44,6:02:35,NH,1,MaN,NH_1_MaN,101,1,0,101-1-0,287.23,44.652,-124.295,10.34037926,32.41683852,See datasheets; probably cannot use this haul for concentration estimate
W18,180217,6:02:36,6:09:27,NH,1,MaN,NH_1_MaN,101,1,3,101-1-3,257.94,44.652,-124.295,10.468875,32.60289286,See datasheets; probably cannot use this haul for concentration estimate
W18,180217,6:09:28,6:14:29,NH,1,MaN,NH_1_MaN,101,1,4,101-1-4,194.66,44.652,-124.295,10.24880139,32.249223,See datasheets; probably cannot use this haul for concentration estimate
W18,180217,5:54:44,6:02:35,NH,1,MaN,NH_1_MaN,101,4,0,101-4-0,1148.94,44.652,-124.295,10.34037926,32.41683852,See datasheets; probably cannot use this haul for concentration estimate
W18,180217,6:02:36,6:09:27,NH,1,MaN,NH_1_MaN,101,4,3,101-4-3,1031.77,44.652,-124.295,10.468875,32.60289286,See datasheets; probably cannot use this haul for concentration estimate
W18,180217,6:09:28,6:14:29,NH,1,MaN,NH_1_MaN,101,4,4,101-4-4,778.65,44.652,-124.295,10.24880139,32.249223,See datasheets; probably cannot use this haul for concentration estimate
W18,180217,10:21:00,10:29:37,NH,3,MaN,NH_3_MaN,102,1,0,102-1-0,445.46,44.652,-124.65,10.20312456,32.85101246,
W18,180217,10:29:38,10:34:23,NH,3,MaN,NH_3_MaN,102,1,1,102-1-1,227.63,44.652,-124.65,9.615432331,33.49146617,
W18,180217,10:34:24,10:36:34,NH,3,MaN,NH_3_MaN,102,1,2,102-1-2,101.13,44.652,-124.65,10.42313281,32.83884375,
W18,180217,10:36:35,10:42:35,NH,3,MaN,NH_3_MaN,102,1,3,102-1-3,276.06,44.652,-124.65,10.53317222,32.64381389,
W18,180217,10:42:35,10:46:58,NH,3,MaN,NH_3_MaN,102,1,4,102-1-4,202.45,44.652,-124.65,10.45451711,32.35713688,
W18,180217,10:21:00,10:29:37,NH,3,MaN,NH_3_MaN,102,4,0,102-4-0,1781.83,44.652,-124.65,10.20312456,32.85101246,
W18,180217,10:29:38,10:34:23,NH,3,MaN,NH_3_MaN,102,4,1,102-4-1,910.53,44.652,-124.65,9.615432331,33.49146617,
W18,180217,10:34:24,10:36:34,NH,3,MaN,NH_3_MaN,102,4,2,102-4-2,404.53,44.652,-124.65,10.42313281,32.83884375,
W18,180217,10:36:35,10:42:35,NH,3,MaN,NH_3_MaN,102,4,3,102-4-3,1104.23,44.652,-124.65,10.53317222,32.64381389,
W18,180217,10:42:35,10:46:58,NH,3,MaN,NH_3_MaN,102,4,4,102-4-4,809.8,44.652,-124.65,10.45451711,32.35713688,
W18,180217,14:07:22,14:36:02,NH,5,MaN,NH_5_MaN,103,1,0,103-1-0,1742.1,44.652,-125.117,10.44680162,32.95336322,oblique
W18,180217,14:07:22,14:36:02,NH,5,MaN,NH_5_MaN,103,4,0,103-4-0,6968.39,44.652,-125.117,10.44680162,32.95336322,oblique
W18,180217,18:09:16,18:35:49,NH,5,MaD,NH_5_MaD,104,1,0,104-1-0,1655.31,44.652,-125.117,10.41091,32.99282688,oblique
W18,180217,18:09:16,18:35:49,NH,5,MaD,NH_5_MaD,104,4,0,104-4-0,6621.22,44.652,-125.117,10.41091,32.99282688,oblique
W18,180217,22:58:18,23:32:17,NH,3,MaD,NH_3_MaD,105,1,0,105-1-0,1510.39,44.652,-124.65,10.30078055,32.83900244,oblique
W18,180217,22:58:18,23:32:17,NH,3,MaD,NH_3_MaD,105,4,0,105-4-0,6041.54,44.652,-124.65,10.30078055,32.83900244,oblique
W18,180218,4:16:41,4:24:47,NH,1,MaD,NH_1_MaD,106,1,0,106-1-0,401.51,44.652,-124.295,10.39646951,32.43975203,
W18,180218,4:24:48,4:28:32,NH,1,MaD,NH_1_MaD,106,1,3,106-1-3,158.15,44.652,-124.295,10.4692287,32.67880269,
W18,180218,4:28:33,4:34:21,NH,1,MaD,NH_1_MaD,106,1,4,106-1-4,224.82,44.652,-124.295,10.30837534,32.29231367,
W18,180218,4:16:41,4:24:47,NH,1,MaD,NH_1_MaD,106,4,0,106-4-0,1606.06,44.652,-124.295,10.39646951,32.43975203,
W18,180218,4:24:48,4:28:32,NH,1,MaD,NH_1_MaD,106,4,3,106-4-3,632.6,44.652,-124.295,10.4692287,32.67880269,
W18,180218,4:28:33,4:34:21,NH,1,MaD,NH_1_MaD,106,4,4,106-4-4,899.28,44.652,-124.295,10.30837534,32.29231367,
W18,180220,3:52:49,4:00:29,TR,1,MaN,TR_1_MaN,107,1,0,107-1-0,407.29,41.0583,-124.2667,9.729815951,33.41621268,
W18,180220,4:00:30,4:05:16,TR,1,MaN,TR_1_MaN,107,1,3,107-1-3,224.12,41.0583,-124.2667,9.754251799,33.41523741,
W18,180220,4:05:17,4:10:47,TR,1,MaN,TR_1_MaN,107,1,4,107-1-4,240.72,41.0583,-124.2667,9.793364179,33.37170448,
W18,180220,3:52:49,4:00:29,TR,1,MaN,TR_1_MaN,107,4,0,107-4-0,1629.17,41.0583,-124.2667,9.729815951,33.41621268,
W18,180220,4:00:30,4:05:16,TR,1,MaN,TR_1_MaN,107,4,3,107-4-3,896.5,41.0583,-124.2667,9.754251799,33.41523741,
W18,180220,4:05:17,4:10:47,TR,1,MaN,TR_1_MaN,107,4,4,107-4-4,962.9,41.0583,-124.2667,9.793364179,33.37170448,
W18,180220,6:04:12,6:18:39,TR,3,MaN,TR_3_MaN,108,1,0,108-1-0,683.86,41.0583,-124.4333,9.833681093,33.23590319,
W18,180220,6:18:40,6:23:02,TR,3,MaN,TR_3_MaN,108,1,1,108-1-1,218.24,41.0583,-124.4333,8.847248092,33.76767939,
W18,180220,6:23:03,6:26:50,TR,3,MaN,TR_3_MaN,108,1,2,108-1-2,192,41.0583,-124.4333,9.368087866,33.52635983,
W18,180220,6:26:51,6:31:20,TR,3,MaN,TR_3_MaN,108,1,3,108-1-3,213.41,41.0583,-124.4333,10.30534231,33.06889615,
W18,180220,6:31:21,6:37:48,TR,3,MaN,TR_3_MaN,108,1,4,108-1-4,300.47,41.0583,-124.4333,10.44914249,32.98926166,
W18,180220,6:04:12,6:18:39,TR,3,MaN,TR_3_MaN,108,4,0,108-4-0,2735.44,41.0583,-124.4333,9.833681093,33.23590319,
W18,180220,6:18:40,6:23:02,TR,3,MaN,TR_3_MaN,108,4,1,108-4-1,872.96,41.0583,-124.4333,8.847248092,33.76767939,
W18,180220,6:23:03,6:26:50,TR,3,MaN,TR_3_MaN,108,4,2,108-4-2,768.01,41.0583,-124.4333,9.368087866,33.52635983,
W18,180220,6:26:51,6:31:20,TR,3,MaN,TR_3_MaN,108,4,3,108-4-3,853.64,41.0583,-124.4333,10.30534231,33.06889615,
W18,180220,6:31:21,6:37:48,TR,3,MaN,TR_3_MaN,108,4,4,108-4-4,1201.88,41.0583,-124.4333,10.44914249,32.98926166,
W18,180220,9:54:22,10:10:28,TR,5,MaN,TR_5_MaN,109,1,0,109-1-0,781.2,41.0583,-124.75,9.781152594,33.30109563,
W18,180220,10:10:29,10:14:23,TR,5,MaN,TR_5_MaN,109,1,1,109-1-1,186.56,41.0583,-124.75,9.628237288,33.48675424,
W18,180220,10:14:24,10:19:58,TR,5,MaN,TR_5_MaN,109,1,2,109-1-2,253.11,41.0583,-124.75,9.696068657,33.39509851,
W18,180220,10:19:59,10:26:29,TR,5,MaN,TR_5_MaN,109,1,3,109-1-3,306.88,41.0583,-124.75,9.714436224,33.34109694,
