"cruise","transect","replicate","station","mocness_side","net","start_time_utc","start_time_pt","end_time_utc","end_time_pt","start_longitude_dd","start_latitude_dd","end_longitude_dd","end_latitude_dd","minimum_depth_m","maximum_depth_m","volume_from_flow_meter_m3","volume_from_ships_stw_m3","volume_m3_best","mean_temperature_c","mean_salinity_psu","mean_density_kgm3","incomplete_record_in_software_outputs","flow_meter_known_to_be_malfunctioning","potentially_inaccurate_depth_values","unsure_if_net_was_open_for_entire_time_specified","temperature_and_salinity_sensors_malfunctioning","notes"
"W18","NH","MaN",1,1,"0",2018-02-17 05:54:45,2018-02-16 21:54:45,2018-02-17 06:06:21,2018-02-16 22:06:21,-124.30108,44.65284,-124.31125,44.65296,0.5,51.1,233.064531314351,435.945428208594,233.064531314351,10.3403792592593,32.4168385185185,1025.01532453361,"","","","","",""
"W18","NH","MaN",1,4,"0",2018-02-17 05:54:45,2018-02-16 21:54:45,2018-02-17 06:06:21,2018-02-16 22:06:21,-124.30108,44.65284,-124.31125,44.65296,0.5,51.1,932.258125257403,1714.31918725714,932.258125257403,10.3403792592593,32.4168385185185,1025.01532453361,"","","","","",""
"W18","NH","MaN",1,1,"1",2018-02-17 06:06:21,2018-02-16 22:06:21,2018-02-17 06:10:05,2018-02-16 22:10:05,-124.31127,44.65296,-124.31439,44.65308,21.2,38.7,129.743057958598,76.821638582346,129.743057958598,10.468875,32.6028928571429,1025.14143128037,"","","","","",""
"W18","NH","MaN",1,4,"1",2018-02-17 06:06:21,2018-02-16 22:06:21,2018-02-17 06:10:05,2018-02-16 22:10:05,-124.31127,44.65296,-124.31439,44.65308,21.2,38.7,518.972231834392,307.805265343515,518.972231834392,10.468875,32.6028928571429,1025.14143128037,"","","","","",""
"W18","NH","MaN",1,1,"2",2018-02-17 06:10:05,2018-02-16 22:10:05,2018-02-17 06:14:53,2018-02-16 22:14:53,-124.31441,44.65308,-124.31867,44.65301,0.2,20.475,154.952344165818,151.76601826384,154.952344165818,10.2485173611111,32.2489375,1024.81168843279,"","","","","","Samples also exist for nets 3 and 4, but outputs for nets 3 and 4 are not present in .PRO file; sampling log says bottom depth was 81 m; maximum depth of tow was ~50 m"
"W18","NH","MaN",1,4,"2",2018-02-17 06:10:05,2018-02-16 22:10:05,2018-02-17 06:14:53,2018-02-16 22:14:53,-124.31441,44.65308,-124.31867,44.65301,0.2,20.475,619.809376663271,605.821671436061,619.809376663271,10.2485173611111,32.2489375,1024.81168843279,"","","","","","Samples also exist for nets 3 and 4, but outputs for nets 3 and 4 are not present in .PRO file; sampling log says bottom depth was 81 m; maximum depth of tow was ~50 m"
"W18","NH","MaN",3,1,"0",2018-02-17 10:20:58,2018-02-17 02:20:58,2018-02-17 10:30:22,2018-02-17 02:30:22,-124.65217,44.65201,-124.65769,44.65198,1.2,102,156.275246384831,368.880773547117,156.275246384831,10.2031245551601,32.851012455516,1025.47395845292,"","","","","",""
"W18","NH","MaN",3,4,"0",2018-02-17 10:20:58,2018-02-17 02:20:58,2018-02-17 10:30:22,2018-02-17 02:30:22,-124.65217,44.65201,-124.65769,44.65198,1.2,102,625.100985539326,1461.1148087952,625.100985539326,10.2031245551601,32.851012455516,1025.47395845292,"","","","","",""
"W18","NH","MaN",3,1,"1",2018-02-17 10:30:22,2018-02-17 02:30:22,2018-02-17 10:34:48,2018-02-17 02:34:48,-124.6577,44.65198,-124.66054,44.65198,70.948,103.038,122.950560486135,140.953610531194,122.950560486135,9.61543233082707,33.4914661654135,1026.24313272238,"","","","","",""
"W18","NH","MaN",3,4,"1",2018-02-17 10:30:22,2018-02-17 02:30:22,2018-02-17 10:34:48,2018-02-17 02:34:48,-124.6577,44.65198,-124.66054,44.65198,70.948,103.038,491.802241944538,564.187504811892,491.802241944538,9.61543233082707,33.4914661654135,1026.24313272238,"","","","","",""
