"transect","replicate","station","cast_start_date_time_utc","cast_start_date_time_pt","date_time_closed_utc","date_time_closed_pt","depth_closed_m","volume_filtered_m3","temperature_c","salinity","net","date_pt"
"NH","MaD","3",2018-02-17 22:46:40,2018-02-17 14:46:40,2018-02-17 23:12:21,2018-02-17 15:12:21,90.8,418.16,9.578,33.489,"0",2018-02-17
"NH","MaD","3",2018-02-17 22:46:40,2018-02-17 14:46:40,2018-02-17 23:15:31,2018-02-17 15:15:31,73.9,117.61,10.187,33.165,"1",2018-02-17
"NH","MaD","3",2018-02-17 22:46:40,2018-02-17 14:46:40,2018-02-17 23:22:03,2018-02-17 15:22:03,46.7,212.84,10.605,32.67,"2",2018-02-17
"NH","MaD","3",2018-02-17 22:46:40,2018-02-17 14:46:40,2018-02-17 23:27:54,2018-02-17 15:27:54,23.8,172.18,10.555,32.592,"3",2018-02-17
"NH","MaD","3",2018-02-17 22:46:40,2018-02-17 14:46:40,2018-02-17 23:32:40,2018-02-17 15:32:40,5.6,203.48,10.362,32.402,"4",2018-02-17
"NH","MaD","5",2018-02-17 18:09:08,2018-02-17 10:09:08,2018-02-17 18:20:50,2018-02-17 10:20:50,100.2,332.31,9.431,33.596,"0",2018-02-17
"NH","MaD","5",2018-02-17 18:09:08,2018-02-17 10:09:08,2018-02-17 18:24:25,2018-02-17 10:24:25,65.7,152.69,10.292,33.212,"1",2018-02-17
"NH","MaD","5",2018-02-17 18:09:08,2018-02-17 10:09:08,2018-02-17 18:29:21,2018-02-17 10:29:21,51.2,226.46,10.729,32.722,"2",2018-02-17
"NH","MaD","5",2018-02-17 18:09:08,2018-02-17 10:09:08,2018-02-17 18:32:19,2018-02-17 10:32:19,24,138.92,10.69,32.69,"3",2018-02-17
"NH","MaD","5",2018-02-17 18:09:08,2018-02-17 10:09:08,2018-02-17 18:36:03,2018-02-17 10:36:03,0.8,168.81,10.698,32.698,"4",2018-02-17
"NH","MaN","1",2018-02-17 05:54:31,2018-02-16 21:54:31,2018-02-17 06:10:04,2018-02-16 22:10:04,20.9,189.94,10.454,32.559,"0",2018-02-16
"NH","MaN","1",2018-02-17 05:54:31,2018-02-16 21:54:31,2018-02-17 06:14:52,2018-02-16 22:14:52,0.3,209.9,10.167,32.164,"4",2018-02-16
"NH","MaN","3",2018-02-17 10:20:51,2018-02-17 02:20:51,2018-02-17 10:30:22,2018-02-17 02:30:22,100.7,215.46,9.281,33.686,"0",2018-02-17
"NH","MaN","3",2018-02-17 10:20:51,2018-02-17 02:20:51,2018-02-17 10:34:48,2018-02-17 02:34:48,70.9,177.76,10.216,33.117,"1",2018-02-17
"NH","MaN","3",2018-02-17 10:20:51,2018-02-17 02:20:51,2018-02-17 10:36:56,2018-02-17 02:36:56,51.4,99.83,10.569,32.689,"2",2018-02-17
"NH","MaN","3",2018-02-17 10:20:51,2018-02-17 02:20:51,2018-02-17 10:42:56,2018-02-17 02:42:56,25.1,255.59,10.547,32.548,"3",2018-02-17
"NH","MaN","3",2018-02-17 10:20:51,2018-02-17 02:20:51,2018-02-17 10:47:19,2018-02-17 02:47:19,6.2,202.67,10.414,32.313,"4",2018-02-17
"NH","MaN","5",2018-02-17 14:07:14,2018-02-17 06:07:14,2018-02-17 14:15:20,2018-02-17 06:15:20,103.2,180.6,9.505,33.575,"0",2018-02-17
"NH","MaN","5",2018-02-17 14:07:14,2018-02-17 06:07:14,2018-02-17 14:19:54,2018-02-17 06:19:54,75.5,172.53,10.02,33.37,"1",2018-02-17
"NH","MaN","5",2018-02-17 14:07:14,2018-02-17 06:07:14,2018-02-17 14:24:53,2018-02-17 06:24:53,50.9,1785.58,10.779,32.735,"2",2018-02-17
"NH","MaN","5",2018-02-17 14:07:14,2018-02-17 06:07:14,2018-02-17 14:29:28,2018-02-17 06:29:28,26.8,199.92,10.708,32.692,"3",2018-02-17
"NH","MaN","5",2018-02-17 14:07:14,2018-02-17 06:07:14,2018-02-17 14:36:14,2018-02-17 06:36:14,2.7,405.08,10.711,32.694,"4",2018-02-17
"NH","MbD","1",2018-02-23 23:26:43,2018-02-23 15:26:43,2018-02-23 23:32:43,2018-02-23 15:32:43,48.5,106.89,9.707,33.31,"0",2018-02-23
"NH","MbD","1",2018-02-23 23:26:43,2018-02-23 15:26:43,2018-02-23 23:36:33,2018-02-23 15:36:33,22.1,60.79,10.113,32.338,"3",2018-02-23
"NH","MbD","1",2018-02-23 23:26:43,2018-02-23 15:26:43,2018-02-23 23:40:16,2018-02-23 15:40:16,1.4,72.82,9.235,31.246,"4",2018-02-23
"NH","MbD","2",2018-02-23 21:51:36,2018-02-23 13:51:36,2018-02-23 21:57:27,2018-02-23 13:57:27,50.3,86.42,10.51,32.639,"0",2018-02-23
"NH","MbD","2",2018-02-23 21:51:36,2018-02-23 13:51:36,2018-02-23 22:02:55,2018-02-23 14:02:55,26.5,199.92,10.433,32.61,"2",2018-02-23
"NH","MbD","2",2018-02-23 21:51:36,2018-02-23 13:51:36,2018-02-23 22:06:26,2018-02-23 14:06:26,9.4,85.81,10.328,32.506,"3",2018-02-23
"NH","MbD","2",2018-02-23 21:51:36,2018-02-23 13:51:36,2018-02-23 22:07:41,2018-02-23 14:07:41,5.6,6.65,9.947,31.934,"4",2018-02-23
"NH","MbD","3",2018-02-23 19:34:31,2018-02-23 11:34:31,2018-02-23 19:42:54,2018-02-23 11:42:54,99.4,155.23,9.231,33.643,"0",2018-02-23
"NH","MbD","3",2018-02-23 19:34:31,2018-02-23 11:34:31,2018-02-23 19:48:10,2018-02-23 11:48:10,72.4,173.81,9.817,33.296,"1",2018-02-23
"NH","MbD","3",2018-02-23 19:34:31,2018-02-23 11:34:31,2018-02-23 19:52:28,2018-02-23 11:52:28,50.3,129.25,10.352,32.653,"2",2018-02-23
"NH","MbD","3",2018-02-23 19:34:31,2018-02-23 11:34:31,2018-02-23 19:57:18,2018-02-23 11:57:18,26.6,151.56,10.341,32.6,"3",2018-02-23
"NH","MbD","3",2018-02-23 19:34:31,2018-02-23 11:34:31,2018-02-23 20:05:36,2018-02-23 12:05:36,1.7,5.99,9.009,30.798,"4",2018-02-23
"NH","MbD","5",2018-02-23 16:02:07,2018-02-23 08:02:07,2018-02-23 16:15:05,2018-02-23 08:15:05,98.5,276.9,9.344,33.607,"0",2018-02-23
"NH","MbD","5",2018-02-23 16:02:07,2018-02-23 08:02:07,2018-02-23 16:18:41,2018-02-23 08:18:41,75.2,154.57,9.592,33.389,"1",2018-02-23
"NH","MbD","5",2018-02-23 16:02:07,2018-02-23 08:02:07,2018-02-23 16:25:21,2018-02-23 08:25:21,47.5,278.01,10.343,32.81,"2",2018-02-23
"NH","MbD","5",2018-02-23 16:02:07,2018-02-23 08:02:07,2018-02-23 16:29:16,2018-02-23 08:29:16,23.7,189.26,10.252,32.529,"3",2018-02-23
"NH","MbD","5",2018-02-23 16:02:07,2018-02-23 08:02:07,2018-02-23 16:33:17,2018-02-23 08:33:17,0.6,152.04,9.185,31.112,"4",2018-02-23
"NH","MbN","1",2018-02-18 04:15:37,2018-02-17 20:15:37,2018-02-18 04:24:54,2018-02-17 20:24:54,51.8,269.02,10.453,32.883,"0",2018-02-17
"NH","MbN","1",2018-02-18 04:15:37,2018-02-17 20:15:37,2018-02-18 04:28:36,2018-02-17 20:28:36,26,144.69,10.428,32.451,"3",2018-02-17
"NH","MbN","1",2018-02-18 04:15:37,2018-02-17 20:15:37,2018-02-18 04:34:49,2018-02-17 20:34:49,2,275.39,10.286,32.276,"4",2018-02-17
"TR","MaD","1",2018-02-20 22:24:56,2018-02-20 14:24:56,2018-02-20 22:31:46,2018-02-20 14:31:46,51.6,143.24,8.493,33.863,"0",2018-02-20
"TR","MaD","1",2018-02-20 22:24:56,2018-02-20 14:24:56,2018-02-20 22:35:57,2018-02-20 14:35:57,25.6,151.11,8.991,33.761,"3",2018-02-20
"TR","MaD","1",2018-02-20 22:24:56,2018-02-20 14:24:56,2018-02-20 22:41:46,2018-02-20 14:41:46,7.2,265.57,9.525,33.422,"4",2018-02-20
"TR","MaD","2",2018-02-20 20:53:44,2018-02-20 12:53:44,2018-02-20 21:02:27,2018-02-20 13:02:27,98,203.28,8.031,33.931,"0",2018-02-20
"TR","MaD","2",2018-02-20 20:53:44,2018-02-20 12:53:44,2018-02-20 21:07:04,2018-02-20 13:07:04,71.1,187.94,8.823,33.796,"1",2018-02-20
"TR","MaD","2",2018-02-20 20:53:44,2018-02-20 12:53:44,2018-02-20 21:11:03,2018-02-20 13:11:03,48.9,171.12,9.617,33.418,"2",2018-02-20
"TR","MaD","2",2018-02-20 20:53:44,2018-02-20 12:53:44,2018-02-20 21:16:32,2018-02-20 13:16:32,27,222.57,9.847,33.311,"3",2018-02-20
"TR","MaD","2",2018-02-20 20:53:44,2018-02-20 12:53:44,2018-02-20 21:20:45,2018-02-20 13:20:45,1.3,199.18,9.908,33.269,"4",2018-02-20
"TR","MaD","3",2018-02-20 18:46:14,2018-02-20 10:46:14,2018-02-20 18:56:33,2018-02-20 10:56:33,102.1,0,8.649,33.841,"0",2018-02-20
"TR","MaD","3",2018-02-20 18:46:14,2018-02-20 10:46:14,2018-02-20 19:03:16,2018-02-20 11:03:16,70.4,0,9.3,33.597,"1",2018-02-20
"TR","MaD","3",2018-02-20 18:46:14,2018-02-20 10:46:14,2018-02-20 19:05:42,2018-02-20 11:05:42,48.7,0,9.86,33.327,"2",2018-02-20
"TR","MaD","3",2018-02-20 18:46:14,2018-02-20 10:46:14,2018-02-20 19:11:29,2018-02-20 11:11:29,25,0,10.334,33.014,"3",2018-02-20
"TR","MaD","3",2018-02-20 18:46:14,2018-02-20 10:46:14,2018-02-20 19:18:17,2018-02-20 11:18:17,3.6,0,10.326,33.011,"4",2018-02-20
"TR","MaD","5",2018-02-20 15:13:38,2018-02-20 07:13:38,2018-02-20 15:27:18,2018-02-20 07:27:18,102.8,217.46,8.965,33.787,"0",2018-02-20
"TR","MaD","5",2018-02-20 15:13:38,2018-02-20 07:13:38,2018-02-20 15:32:37,2018-02-20 07:32:37,73.3,145.22,9.422,33.611,"1",2018-02-20
"TR","MaD","5",2018-02-20 15:13:38,2018-02-20 07:13:38,2018-02-20 15:35:01,2018-02-20 07:35:01,46.5,96.63,10.269,33.316,"2",2018-02-20
"TR","MaD","5",2018-02-20 15:13:38,2018-02-20 07:13:38,2018-02-20 15:40:59,2018-02-20 07:40:59,26.3,271.58,10.103,33.08,"3",2018-02-20
"TR","MaD","5",2018-02-20 15:13:38,2018-02-20 07:13:38,2018-02-20 15:46:59,2018-02-20 07:46:59,1.4,317.2,10.129,33.034,"4",2018-02-20
