Station Type,Name,Latitude,Longitude
Sampling Station,GH1,47.1025,-124.33958
Sampling Station,GH2,47.1025,-124.538
Sampling Station,GH3,47.1025,-124.8035
Sampling Station,GH4,47.1025,-125.2
Sampling Station,GH5,47.1025,-125.663
Sampling Station,GH6,47.1025,-126.09
Sampling Station,CR1,46.17,-124.112
Sampling Station,CR2,46.17,-124.307
Sampling Station,CR3,46.17,-124.697
Sampling Station,CR4,46.17,-125.152
Sampling Station,CM1,45.48,-124.021
Sampling Station,CM2,45.48,-124.2135
Sampling Station,CM3,45.48,-124.5985
Sampling Station,CM4,45.48,-125.0473
Sampling Station,NH1,44.65132,-124.1270955
Sampling Station,NH2,44.65132,-124.315
Sampling Station,NH3,44.65132,-124.566
Sampling Station,NH4,44.65132,-124.954
Sampling Station,NH5,44.65132,-125.393
Sampling Station,NH6,44.65132,-125.80783
Sampling Station,HH1,43.98952,-124.183
Sampling Station,HH2,43.98952,-124.3705
Sampling Station,HH3,43.98952,-124.7454
Sampling Station,HH4,43.98952,-125.184
Sampling Station,RR1,42.501,-124.525
Sampling Station,RR2,42.501,-124.708
Sampling Station,RR3,42.501,-125.074
Sampling Station,RR4,42.501,-125.501
Sampling Station,RR3.5,42.501,-125.465
