taxon,indicator_cluster,indicator_stat,indicator_p_value,taxon_count_in_cluster,total_larvae_in_cluster,total_taxon_count_all_clusters,proportion_of_all_larvae_in_cluster,proportion_of_taxon_count_in_cluster
Sebastes_spp,1,0.8610315808952617,0.005,8925,10963,9587,0.8141019793852048,0.9309481589652655
Parophrys_vetulus,2,0.9592262032850907,0.005,4204,5967,7057,0.7045416457181163,0.5957205611449624
Sebastes_spp,2,0.8610315808952617,0.005,320,5967,9587,0.05362828892240657,0.03337853343068739
Stenobrachius_leucopsarus,3,0.7840903704248827,0.005,740,1450,1876,0.5103448275862069,0.39445628997867804
Stenobrachius_leucopsarus,4,0.7840903704248827,0.005,1,11,1876,0.09090909090909091,5.330490405117271e-4
Parophrys_vetulus,5,0.9592262032850907,0.005,34,216,7057,0.1574074074074074,0.004817911293750886
Liparis_spp,5,0.7736629828670625,0.035,33,216,548,0.1527777777777778,0.060218978102189784
Osmeridae,6,0.9832528599290293,0.005,4419,10846,4496,0.4074313110824267,0.9828736654804271
Parophrys_vetulus,6,0.9592262032850907,0.005,2656,10846,7057,0.24488290614051264,0.37636389400595155
Liparis_spp,6,0.7736629828670625,0.035,90,10846,548,0.008297990042411949,0.16423357664233576
Hexagrammidae,7,0.9427470039760748,0.005,72,88,183,0.8181818181818182,0.39344262295081966
Sebastes_spp,7,0.8610315808952617,0.005,5,88,9587,0.056818181818181816,5.215395848544905e-4
Stenobrachius_leucopsarus,7,0.7840903704248827,0.005,5,88,1876,0.056818181818181816,0.0026652452025586353
Liparis_spp,7,0.7736629828670625,0.035,3,88,548,0.03409090909090909,0.005474452554744526
